Name,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
PM2.5-Attributable Deaths,UHF42,504,South Beach - Tottenville,2005-2007,2005-01-01,65.0
Boiler Emissions- Total SO2 Emissions,UHF42,101,Kingsbridge - Riverdale,2013,2013-01-01,17.6
Boiler Emissions- Total SO2 Emissions,UHF42,102,Northeast Bronx,2013,2013-01-01,2.2
Boiler Emissions- Total SO2 Emissions,UHF42,103,Fordham - Bronx Pk,2013,2013-01-01,24.5
Boiler Emissions- Total SO2 Emissions,UHF42,104,Pelham - Throgs Neck,2013,2013-01-01,4.4
Boiler Emissions- Total SO2 Emissions,UHF42,105,Crotona -Tremont,2013,2013-01-01,16.9
Boiler Emissions- Total SO2 Emissions,UHF42,106,High Bridge - Morrisania,2013,2013-01-01,19.7
Boiler Emissions- Total SO2 Emissions,UHF42,107,Hunts Point - Mott Haven,2013,2013-01-01,3.3
Boiler Emissions- Total SO2 Emissions,UHF42,201,Greenpoint,2013,2013-01-01,0.4
Boiler Emissions- Total SO2 Emissions,UHF42,202,Downtown - Heights - Slope,2013,2013-01-01,0.8
Boiler Emissions- Total SO2 Emissions,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,2013-01-01,0.9
Boiler Emissions- Total SO2 Emissions,UHF42,204,East New York,2013,2013-01-01,0.1
Boiler Emissions- Total SO2 Emissions,UHF42,205,Sunset Park,2013,2013-01-01,0.1
Boiler Emissions- Total SO2 Emissions,UHF42,206,Borough Park,2013,2013-01-01,1.5
Boiler Emissions- Total SO2 Emissions,UHF42,207,East Flatbush - Flatbush,2013,2013-01-01,2.3
Boiler Emissions- Total SO2 Emissions,UHF42,208,Canarsie - Flatlands,2013,2013-01-01,0.0
Boiler Emissions- Total SO2 Emissions,UHF42,209,Bensonhurst - Bay Ridge,2013,2013-01-01,1.7
Boiler Emissions- Total SO2 Emissions,UHF42,210,Coney Island - Sheepshead Bay,2013,2013-01-01,0.9
